voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_idle_state;I_layer5_pwr_apprx_compute_state;I_layer5_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_poweron_state;nv_reg5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_idle_state;I_layer6_pwr_apprx_compute_state;I_layer6_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_poweron_state;nv_reg6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_idle_state;I_layer7_pwr_apprx_compute_state;I_layer7_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_poweron_state;nv_reg7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_idle_state;I_layer8_pwr_apprx_compute_state;I_layer8_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_poweron_state;nv_reg8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_save_state;I_layer9_pwr_apprx_values_idle_state;I_layer9_pwr_apprx_compute_state;I_layer9_pwr_apprx_values_save_state;I_layer9_pwr_apprx_values_rec_state;nv_reg9_pwr_apprx_values_poweron_state;nv_reg9_pwr_apprx_values_rec_state;nv_reg9_pwr_apprx_values_save_state;I_layer10_pwr_apprx_values_idle_state;I_layer10_pwr_apprx_compute_state;I_layer10_pwr_apprx_values_save_state;I_layer10_pwr_apprx_values_rec_state;nv_reg10_pwr_apprx_values_poweron_state;nv_reg10_pwr_apprx_values_rec_state;nv_reg10_pwr_apprx_values_save_state;
3250;3 ms;97;48271;0;13;19300;11018;16606;1250;48174;3613;2640;29053;1265;16606;1250;48174;935;608;29434;884;16606;1250;48174;430;280;29629;689;16606;1250;48174;198;150;29824;494;16606;1250;48174;124;76;29889;429;16606;1250;48174;224;176;29954;364;16606;1250;48174;168;120;30019;299;16606;1250;48174;124;76;30084;234;16606;1250;48174;124;76;30084;234;16606;1250;48174;134;86;
3280;3 ms;97;48271;0;13;19434;10673;16990;1077;48174;3421;2456;28898;1209;16990;1077;48174;918;738;29223;884;16990;1077;48174;530;384;29418;689;16990;1077;48174;480;360;29613;494;16990;1077;48174;316;268;29678;429;16990;1077;48174;124;76;29743;364;16990;1077;48174;124;76;29808;299;16990;1077;48174;124;76;29873;234;16990;1077;48174;124;76;29873;234;16990;1077;48174;124;76;
3310;3 ms;97;48271;0;13;19490;10309;17198;1177;48174;4163;3016;28590;1209;17198;1177;48174;534;486;28915;884;17198;1177;48174;132;84;29110;689;17198;1177;48174;132;84;29305;494;17198;1177;48174;252;204;29370;429;17198;1177;48174;340;292;29435;364;17198;1177;48174;220;172;29500;299;17198;1177;48174;132;84;29565;234;17198;1177;48174;162;114;29565;234;17198;1177;48174;156;108;
3340;3 ms;97;48271;0;12;19276;9494;18410;994;48174;4717;3764;27654;1116;18410;994;48174;401;222;27954;816;18410;994;48174;235;188;28134;636;18410;994;48174;209;162;28314;456;18410;994;48174;135;88;28374;396;18410;994;48174;135;88;28434;336;18410;994;48174;135;88;28494;276;18410;994;48174;135;88;28554;216;18410;994;48174;193;118;28554;216;18410;994;48174;181;112;
3370;3 ms;97;48271;0;11;19217;9283;17226;2448;48174;4154;3020;27477;1023;17226;2448;48174;524;482;27752;748;17226;2448;48174;330;288;27917;583;17226;2448;48174;270;228;28082;418;17226;2448;48174;190;148;28137;363;17226;2448;48174;126;84;28192;308;17226;2448;48174;126;84;28247;253;17226;2448;48174;156;114;28302;198;17226;2448;48174;160;118;28302;198;17226;2448;48174;134;92;
3400;3 ms;97;48271;0;11;19270;8844;17628;2432;48174;3966;2836;27091;1023;17628;2432;48174;656;482;27366;748;17628;2432;48174;330;288;27531;583;17628;2432;48174;200;158;27696;418;17628;2432;48174;186;144;27751;363;17628;2432;48174;280;238;27806;308;17628;2432;48174;214;172;27861;253;17628;2432;48174;156;114;27916;198;17628;2432;48174;160;118;27916;198;17628;2432;48174;126;84;
3430;3 ms;97;48271;0;11;19330;8658;17888;2298;48174;3246;2476;26965;1023;17888;2298;48174;516;474;27240;748;17888;2298;48174;438;396;27405;583;17888;2298;48174;264;154;27570;418;17888;2298;48174;252;148;27625;363;17888;2298;48174;324;234;27680;308;17888;2298;48174;300;216;27735;253;17888;2298;48174;126;84;27790;198;17888;2298;48174;156;114;27790;198;17888;2298;48174;150;108;
3460;3 ms;97;48271;0;10;18988;8648;18202;2336;48174;3604;2652;26706;930;18202;2336;48174;646;604;26956;680;18202;2336;48174;732;592;27106;530;18202;2336;48174;412;298;27256;380;18202;2336;48174;186;144;27306;330;18202;2336;48174;122;80;27356;280;18202;2336;48174;122;80;27406;230;18202;2336;48174;122;80;27456;180;18202;2336;48174;122;80;27456;180;18202;2336;48174;122;80;
3490;3 ms;97;48271;0;10;19042;8352;18426;2354;48174;3784;2832;26464;930;18426;2354;48174;640;470;26714;680;18426;2354;48174;428;284;26864;530;18426;2354;48174;118;76;27014;380;18426;2354;48174;118;76;27064;330;18426;2354;48174;118;76;27114;280;18426;2354;48174;118;76;27164;230;18426;2354;48174;178;136;27214;180;18426;2354;48174;186;144;27214;180;18426;2354;48174;118;76;
3520;3 ms;97;48271;0;10;19617;7893;18710;1954;48174;3422;2652;26580;930;18710;1954;48174;644;474;26830;680;18710;1954;48174;532;388;26980;530;18710;1954;48174;196;154;27130;380;18710;1954;48174;122;80;27180;330;18710;1954;48174;172;130;27230;280;18710;1954;48174;166;124;27280;230;18710;1954;48174;122;80;27330;180;18710;1954;48174;180;110;27330;180;18710;1954;48174;168;104;
3550;3 ms;97;48271;0;9;20385;7587;19244;958;48174;4334;3388;27135;837;19244;958;48174;250;214;27360;612;19244;958;48174;216;180;27495;477;19244;958;48174;190;154;27630;342;19244;958;48174;176;140;27675;297;19244;958;48174;170;134;27720;252;19244;958;48174;116;80;27765;207;19244;958;48174;116;80;27810;162;19244;958;48174;116;80;27810;162;19244;958;48174;116;80;
3580;3 ms;97;48271;0;9;20429;7342;18736;1667;48174;3786;2840;26934;837;18736;1667;48174;246;210;27159;612;18736;1667;48174;220;184;27294;477;18736;1667;48174;186;150;27429;342;18736;1667;48174;180;144;27474;297;18736;1667;48174;116;80;27519;252;18736;1667;48174;196;160;27564;207;18736;1667;48174;184;148;27609;162;18736;1667;48174;146;110;27609;162;18736;1667;48174;140;104;
3610;3 ms;97;48271;0;8;20463;7083;19928;700;48174;3054;2472;26709;837;19928;700;48174;376;340;26993;553;19928;700;48174;324;288;27122;424;19928;700;48174;254;150;27242;304;19928;700;48174;362;264;27282;264;19928;700;48174;274;238;27322;224;19928;700;48174;238;164;27362;184;19928;700;48174;182;114;27402;144;19928;700;48174;116;80;27402;144;19928;700;48174;116;80;
3640;3 ms;97;48271;0;8;20397;6615;19062;2100;48174;4150;3204;26268;744;19062;2100;48174;250;214;26468;544;19062;2100;48174;316;280;26588;424;19062;2100;48174;264;228;26708;304;19062;2100;48174;116;80;26748;264;19062;2100;48174;116;80;26788;224;19062;2100;48174;116;80;26828;184;19062;2100;48174;146;110;26868;144;19062;2100;48174;150;114;26868;144;19062;2100;48174;116;80;
3670;3 ms;97;48271;0;7;20470;6296;16494;4914;48174;3410;2464;26022;744;16494;4914;48174;238;202;26222;544;16494;4914;48174;412;376;26342;424;16494;4914;48174;256;220;26462;304;16494;4914;48174;228;192;26514;252;16494;4914;48174;216;180;26570;196;16494;4914;48174;108;72;26605;161;16494;4914;48174;108;72;26640;126;16494;4914;48174;108;72;26640;126;16494;4914;48174;108;72;

Fixed time simulation end ########################################

