voltage_trace: voltage_traces/voltage_trace2.txt
Fixed time simulation start ######################################
hazard_threshold_val;time;shtdwn_counter;clk_counter;trace_rom_addr;executed_batches;I_layer1_pwr_apprx_values_idle_state;I_layer1_pwr_apprx_compute_state;I_layer1_pwr_apprx_values_save_state;I_layer1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_poweron_state;nv_reg1_pwr_apprx_values_rec_state;nv_reg1_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_idle_state;I_layer2_pwr_apprx_compute_state;I_layer2_pwr_apprx_values_save_state;I_layer2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_poweron_state;nv_reg2_pwr_apprx_values_rec_state;nv_reg2_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_idle_state;I_layer3_pwr_apprx_compute_state;I_layer3_pwr_apprx_values_save_state;I_layer3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_poweron_state;nv_reg3_pwr_apprx_values_rec_state;nv_reg3_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_idle_state;I_layer4_pwr_apprx_compute_state;I_layer4_pwr_apprx_values_save_state;I_layer4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_poweron_state;nv_reg4_pwr_apprx_values_rec_state;nv_reg4_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_idle_state;I_layer5_pwr_apprx_compute_state;I_layer5_pwr_apprx_values_save_state;I_layer5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_poweron_state;nv_reg5_pwr_apprx_values_rec_state;nv_reg5_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_idle_state;I_layer6_pwr_apprx_compute_state;I_layer6_pwr_apprx_values_save_state;I_layer6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_poweron_state;nv_reg6_pwr_apprx_values_rec_state;nv_reg6_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_idle_state;I_layer7_pwr_apprx_compute_state;I_layer7_pwr_apprx_values_save_state;I_layer7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_poweron_state;nv_reg7_pwr_apprx_values_rec_state;nv_reg7_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_idle_state;I_layer8_pwr_apprx_compute_state;I_layer8_pwr_apprx_values_save_state;I_layer8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_poweron_state;nv_reg8_pwr_apprx_values_rec_state;nv_reg8_pwr_apprx_values_save_state;I_layer9_pwr_apprx_values_idle_state;I_layer9_pwr_apprx_compute_state;I_layer9_pwr_apprx_values_save_state;I_layer9_pwr_apprx_values_rec_state;nv_reg9_pwr_apprx_values_poweron_state;nv_reg9_pwr_apprx_values_rec_state;nv_reg9_pwr_apprx_values_save_state;I_layer10_pwr_apprx_values_idle_state;I_layer10_pwr_apprx_compute_state;I_layer10_pwr_apprx_values_save_state;I_layer10_pwr_apprx_values_rec_state;nv_reg10_pwr_apprx_values_poweron_state;nv_reg10_pwr_apprx_values_rec_state;nv_reg10_pwr_apprx_values_save_state;I_layer11_pwr_apprx_values_idle_state;I_layer11_pwr_apprx_compute_state;I_layer11_pwr_apprx_values_save_state;I_layer11_pwr_apprx_values_rec_state;nv_reg11_pwr_apprx_values_poweron_state;nv_reg11_pwr_apprx_values_rec_state;nv_reg11_pwr_apprx_values_save_state;I_layer12_pwr_apprx_values_idle_state;I_layer12_pwr_apprx_compute_state;I_layer12_pwr_apprx_values_save_state;I_layer12_pwr_apprx_values_rec_state;nv_reg12_pwr_apprx_values_poweron_state;nv_reg12_pwr_apprx_values_rec_state;nv_reg12_pwr_apprx_values_save_state;
3460;3 ms;97;48271;0;9;19378;7842;18458;2496;48174;4786;3540;26293;927;18458;2496;48174;614;328;26653;567;18458;2496;48174;122;80;26743;477;18458;2496;48174;212;170;26788;432;18458;2496;48174;196;154;26878;342;18458;2496;48174;182;140;26923;297;18458;2496;48174;246;204;26923;297;18458;2496;48174;176;134;26968;252;18458;2496;48174;122;80;27013;207;18458;2496;48174;122;80;27058;162;18458;2496;48174;122;80;27058;162;18458;2496;48174;122;80;
3490;3 ms;97;48271;0;9;19542;7870;18278;2484;48174;3364;2316;26382;1030;18278;2484;48174;604;440;26833;579;18278;2484;48174;524;384;26935;477;18278;2484;48174;304;170;26980;432;18278;2484;48174;118;76;27070;342;18278;2484;48174;118;76;27115;297;18278;2484;48174;178;136;27115;297;18278;2484;48174;172;130;27160;252;18278;2484;48174;158;116;27205;207;18278;2484;48174;182;140;27250;162;18278;2484;48174;118;76;27250;162;18278;2484;48174;118;76;
3550;3 ms;97;48271;0;8;20737;7083;19350;1004;48174;4188;3344;26952;868;19350;1004;48174;492;456;27316;504;19350;1004;48174;428;392;27396;424;19350;1004;48174;312;276;27436;384;19350;1004;48174;262;158;27516;304;19350;1004;48174;250;152;27556;264;19350;1004;48174;124;88;27556;264;19350;1004;48174;124;88;27596;224;19350;1004;48174;124;88;27636;184;19350;1004;48174;124;88;27676;144;19350;1004;48174;184;148;27676;144;19350;1004;48174;172;136;
3580;3 ms;97;48271;0;8;20731;6700;18996;1747;48174;4578;3536;26607;824;18996;1747;48174;606;448;26927;504;18996;1747;48174;112;76;27007;424;18996;1747;48174;112;76;27047;384;18996;1747;48174;112;76;27127;304;18996;1747;48174;112;76;27167;264;18996;1747;48174;172;136;27167;264;18996;1747;48174;166;130;27207;224;18996;1747;48174;112;76;27247;184;18996;1747;48174;112;76;27287;144;18996;1747;48174;112;76;27287;144;18996;1747;48174;112;76;
3610;3 ms;97;48271;0;8;21045;6347;18630;2152;48174;4178;3132;26568;824;18630;2152;48174;108;72;26888;504;18630;2152;48174;208;172;26968;424;18630;2152;48174;292;256;27008;384;18630;2152;48174;252;216;27088;304;18630;2152;48174;172;136;27128;264;18630;2152;48174;108;72;27128;264;18630;2152;48174;108;72;27168;224;18630;2152;48174;108;72;27208;184;18630;2152;48174;108;72;27248;144;18630;2152;48174;108;72;27248;144;18630;2152;48174;108;72;
3640;3 ms;97;48271;0;7;20619;6028;20677;850;48174;3986;3344;25926;721;20677;850;48174;492;456;26206;441;20677;850;48174;824;592;26276;371;20677;850;48174;684;464;26311;336;20677;850;48174;124;88;26381;266;20677;850;48174;124;88;26416;231;20677;850;48174;124;88;26416;231;20677;850;48174;174;138;26451;196;20677;850;48174;168;132;26486;161;20677;850;48174;124;88;26521;126;20677;850;48174;124;88;26521;126;20677;850;48174;124;88;
3670;3 ms;97;48271;0;7;20796;5524;16880;4974;48174;4586;3540;25599;721;16880;4974;48174;236;200;25879;441;16880;4974;48174;112;76;25949;371;16880;4974;48174;202;166;25984;336;16880;4974;48174;186;150;26054;266;16880;4974;48174;112;76;26089;231;16880;4974;48174;112;76;26089;231;16880;4974;48174;112;76;26124;196;16880;4974;48174;112;76;26159;161;16880;4974;48174;112;76;26194;126;16880;4974;48174;112;76;26194;126;16880;4974;48174;112;76;
3700;3 ms;97;48271;0;6;20742;5509;16957;4966;48174;4174;3128;25530;721;16957;4966;48174;224;188;25810;441;16957;4966;48174;208;172;25880;371;16957;4966;48174;104;68;25915;336;16957;4966;48174;104;68;25985;266;16957;4966;48174;104;68;26020;231;16957;4966;48174;164;128;26032;219;16957;4966;48174;158;122;26083;168;16957;4966;48174;104;68;26113;138;16957;4966;48174;104;68;26143;108;16957;4966;48174;104;68;26143;108;16957;4966;48174;104;68;
3730;3 ms;97;48271;0;6;20423;5420;15842;6489;48174;4378;3332;25225;618;15842;6489;48174;224;188;25465;378;15842;6489;48174;208;172;25525;318;15842;6489;48174;104;68;25555;288;15842;6489;48174;104;68;25615;228;15842;6489;48174;104;68;25645;198;15842;6489;48174;104;68;25645;198;15842;6489;48174;104;68;25675;168;15842;6489;48174;104;68;25705;138;15842;6489;48174;104;68;25735;108;15842;6489;48174;104;68;25735;108;15842;6489;48174;104;68;
3760;3 ms;97;48271;0;6;20471;5280;15950;6473;48174;4578;3532;25133;618;15950;6473;48174;228;192;25373;378;15950;6473;48174;104;68;25433;318;15950;6473;48174;104;68;25463;288;15950;6473;48174;104;68;25523;228;15950;6473;48174;104;68;25553;198;15950;6473;48174;104;68;25553;198;15950;6473;48174;104;68;25583;168;15950;6473;48174;104;68;25613;138;15950;6473;48174;104;68;25643;108;15950;6473;48174;104;68;25643;108;15950;6473;48174;104;68;
